id;"name";"short_name";"alias";"country";"picture";"thumbnail";"description";"checked_out";"checked_out_time";"published";"params";"last_modified_by";"mod_date";"drill_type";"year_name";"division_name";"full_results";"media";"date";"verified";"edit_link";"delete_drill";"add_edit_events";"abbrev"
27;"Lindenhurst Invitational Drill";"Lindenhurst Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;;;;NULL;NULL;"Lidenhurst"
28;"Lindenhurst Jr. Invitational Drill";"Lindenhurst Jr Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Lindenhurst Jrs"
29;"Long Island Championship OF Drill";"Long Island OF Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LI Champ OF"
30;"Long Island Charity Drill";"Long Island Charity";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LI Charity"
31;"Louisville Invitational Drill";"Louisville Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Louisville"
32;"Main-Transit Invitational Drill";"Main-Transit Inv";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Main-Transit"
33;"Manhasset-Lakeville Invitational Drill";"Manhasset-Lakeville";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"MLFD Invite"
34;"Morristown Invitational Drill";"Morristown Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Morristown"
35;"NA";;;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"NA"
36;"Nassau County Drill";"Nassau County Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Nassau County"
37;"Nassau County OF Drill";"Nassau County OF Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Nass County OF"
38;"New Bremen Invitational Drill";"New Bremen Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"New Bremen"
39;"New Hyde Park Invitational Drill";"New Hyde Park Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"New Hyde Park"
40;"Norfolk Invitational Drill";"Norfolk Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Norfolk"
41;"North Bellmore Invitational Drill";"North Bellmore Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"North Bellmore"
42;"North Greece Invitational Drill";"North Greece Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"North Greece"
43;"Northern New York Drill";"Northern New York Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Northern NY"
44;"New York State Championship";"New York State Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;;;;NULL;NULL;;NULL;NULL;NULL;"NY State Drill"
45;"New York State Jr. Championship";"New York State Jr Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"NY State Jrs"
46;"New York State OF Championship";"New York State OF Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"NY State OF"
47;"Oktoberfest Drill";"Oktoberfest Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Oktoberfest"
48;"Old Fashioned Invitational ";"Old Fashioned Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"OF Invite"
49;"Patchogue Invitational Drill";"Patchogue Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Patchogue"
