id;"name";"short_name";"alias";"country";"picture";"thumbnail";"description";"checked_out";"checked_out_time";"published";"params";"last_modified_by";"mod_date";"drill_type";"year_name";"division_name";"full_results";"media";"date";"verified";"edit_link";"delete_drill";"add_edit_events";"abbrev"
115;"Lowville Invitational Drill";"Lowville Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Lowville"
116;"9th Battalion OF Drill";"9th Battalion OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"9th Batt OF"
117;"Nassau Triple Town Drill";"Nassau Triple Town";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"TripleTown"
118;"Breast Cancer Awareness Charity Drill";"Breast Cancer Charity";;;;;NULL;"0";"0000-00-00 00:00:00";"0";;;;;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;"Baldwin Charity"
119;"Mattituck Invitational OF Drill";"Mattituck OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Mattituck OF"
120;"Lindenhurst Parade";"Lindenhurst Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Lindy Parade"
121;"Fifth Battalion Parade";"Fifth Battalion Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"5th Batt Parade"
122;"Fourth Battalion Parade";"Fourth Battalion Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"4th Batt Parade"
123;"Nassau County Parade";"Nassau County Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Nassau Parade"
124;"Suffolk County Parade";"Suffolk County Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Suffolk Parade"
125;"Town of Islip Parade";"Town of Islip Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Islip Parade"
126;"NYS Championship Parade";"NYS Championship Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"NYS Parade"
127;"Sixth Battalion Parade";"Sixth Battalion Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"6th Batt Parade"
128;"Town of Babylon Parade";"Town of Babylon Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Babylon Parade"
129;"Firefighter Cancer Support Network Drill";"FCSN Charity Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"FCSN Charity"
130;"Second Battalion Parade";"Second Battalion Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"2nd Batt Parade"
131;"Seventh Battalion Parade";"Seventh Battalion Parad";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7th Batt Parade"
132;"Albion Invitational Drill";"Albion Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Albion"
133;"Brockport Invitational Drill";"Brockport Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Brockport"
134;"Baldwin Invitational OF Drill";"Baldwin OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Baldwin OF"
135;"Inwood Invitational OF Drill";"Inwood OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Inwood OF"
136;"Hamlin Invitational Drill";"Hamlin Invitational";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hamlin Invite"
137;"East Rockaway Invitational OF Drill";"East Rockaway OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"E Rockaway OF"
138;"Cutchogue Invitational OF Drill";"Cutchogue OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Cutchogue OF"
139;"Southold Invitational OF Drill";"Southold OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Southold OF"
140;"Bayport Jr. Invitational Drill";"Bayport Jr Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bayport Jrs."
141;"North / West Invitational Drill";"North/West Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"N/W Invite"
142;"South Farmingdale Invitational OF Drill";"S. Farmingdale OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"S Farm OF Drill"
143;"East Meadow Invitational OF Drill";"East Meadow OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"E Meadow OF"
144;"Oceanside Invitational Drill";"Oceanside Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Oceanside Inv"
145;"Oceanside Invitational OF Drill";"Oceanside OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Oceanside OF"
146;"Watertown Invitational Drill";"Watertown Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Watertown Inv"
147;"Hicksville Invitational OF Drill";"Hicksville OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hicksville OF"
148;"Huntington Manor Invitational OF Drill";"Hunt Manor OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hunt Manor OF"
149;"Hagerman Invitational OF Drill";"Hagerman OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hagerman OF"
150;"Islip Terrace Labor Day Drill";"Islip Terrace Labor Day";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Islip Terr LD"
151;"East Islip Labor Day Drill";"East Islip Labor Day";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"East Islip LD"
152;"Floral Park Invitational Drill";"Floral Park Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Floral Pk Inv"
153;"North Amityville Invitational OF Drill";"N. Amityville OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"N Amityville OF"
154;"West Islip Invitational OF Drill";"West Islip OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"W. Islip OF"
155;"North Babylon Invitational OF Drill";"N. Babylon OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"N Babylon OF"
156;"Setauket / Stony Brook Invit. OF Drill";"Set./S.B. Inv. OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Set./S.B. OF"
157;"Nassau Suffolk Invitational OF Drill";"Nassau Suffolk OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Nass / Suff OF"
158;"Long Beach Invitational OF Drill";"Long Beach OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Long Beach OF"
159;"Jericho Invitational OF Drill";"Jericho OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Jericho Inv OF"
160;"Town of Brookhaven OF Drill";"Town Brookhaven OF";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Twn Brook. OF"
161;"1st Battalion OF Drill";"1st Battalion OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1st Batt OF"
162;"Lawrence-Cedarhurst Invitational Drill";"Lawrence-Cedarhurst";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Lawrence-Cedar"
163;"Islip Town Invitational OF Drill";"Islip Town Inv OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Islip Town OF"
164;"Babylon Town Invitational OF Drill";"Babylon Twn Inv OF Dril";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Babylon Twn OF"
165;"Stewart Manor Invitational OF Drill";"Stewart Manor OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Stewrt Manor OF"
166;"Garden City Invitational OF Drill";"Garden City Inv OF Dril";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Garden City OF"
167;"3rd Battalion Invitational Drill";"3rd Batt Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"3rd Batt Invite"
168;"Sag Harbor Invitational OF Drill";"Sag Harbor OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Sag Harbor OF"
169;"Drew McCaffrey Memorial Hybrid Drill";"Drew McCaffrey Hybrid";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Drew McCaffrey"
170;"Hagerman Invitational Drill";"Hagerman Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hagerman"
171;"Baldwin Hybrid Drill";"Baldwin Hybrid";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Baldwin Hybrid"
172;"W Hamilton Beach Invitational OF Drill";"W Hamilton Bch OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WHB OF DRILL"
173;"North Fork Association OF Drill";"North Fork Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"NoFoDrill"
174;"Valley Stream Invitational OF Drill";"Valley Stream OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Valley StreamOF"
175;"Rockville Centre Home OF Drill";"Rockville Ctr Home Dril";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"RVC Home Drill"
176;"Pete Purrazzella Day Invitational Drill";"Purrazzella Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Westbury Invite"
177;"Brookhaven Town Invitational OF Drill";"Brookhavn Twn OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"BTDTCA OF Invit"
178;"Blue Point Beach OF Drill";"Blue Pt Beach OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bl Pt Bch Drill"
179;"Hempstead Invitational OF Drill";"Hempstead OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hemp OF Invite"
180;"Bellport Invitational OF Drill";"Bellport OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bellport OF Inv"
181;"Williston Park Invitational OF Drill";"WIlliston Park OF";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WillistonParkOF"
182;"Tullytown PA Invitational Drill";"Tullytown Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Tullytwn Inv"
183;"Allentown PA Invitational  Drill";"Allentown Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Allentwn Inv"
184;"Warminster PA Invitational Drill";"Warminster Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Warminster Inv"
185;"Sunrise Association OF Drill";"Sunrise Assoc OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Sunrise OF Dril"
186;"Town of Huntington Spring OF Drill";"Twn Hunt Spring Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hunt Sprng Dril"
187;"Town of Huntington Fall OF Drill";"Twn Hunt Fall Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hunt Fall Drill"
188;"Inwood Invitational Drill";"Inwood Invit Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Inwood Drill"
189;"Bellport Jr. Invitational Drill";"Bellport Jr. Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bellport Jrs"
190;"Oceanside Jr. Invitational Drill";"Oceanside Jr Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Oceanside Jrs"
191;"East Rockaway Jr. Invitational Drill";"E Rockaway Jr Inv";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"E Rockaway Jrs"
192;"Eastport Invitational OF Drill";"Eastport OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Eastport OF Inv"
193;"St. James Invitational Jr. Drill";"St. James Jr Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"StJames Jr Dril"
194;"Westbury Harry Buck Day Invit. Drill";"Westbury HB Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Westbury Drill"
195;"Bayville Jr. Invitational Drill";"Bayville Jr Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bayvile Jr Dril"
196;"Oyster Bay Invitational Drill";"Oyster Bay Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"OB Invit Drill"
197;"Lynbrook Home OF Drill";"Lynbrook Home OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Lynbrook Home"
198;"Medford Invitational OF Drill";"Medford OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Medford OF Dril"
199;"Lawrence Cedarhurst Jr. Invit. Drill";"Law-Cedar Jr Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Law-Cedar Jr In"
200;"Massapequa Invitational OF Drill";"Massapequa OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Mass OF Drill"
201;"Brookhaven Invitational Drill";"Brookhaven Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Brookhaven"
202;"Joe Gonnelly Memorial Drill";"Joe Gonnelly Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Gonnelly"
203;"North Merrick Invitational Drill";"North Merrick Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"North Merrick"
204;"Labor Day Drill at Merrick";"Labor Day at Merrick";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Labor Day "
205;"Islip Town Jr. Drill Jr.";"Islip Town Jr.";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ITJr."
206;"Kenilworth Invitational Drill";"Kenilworth Inv Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Kenilworth Inv"
207;"North Bailey Invitational Drill";"N Bailey Invit Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"N Bailey Invite"
208;"Inwood Jr Invitational Drill";"Inwood Jr Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Inwood Jr Invt"
209;"Glen Cove Jr Invitational Drill";"Glen Cove Jr Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Glen Cove Jr"
210;"Barrie Invitational Drill";"Barrie Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Barrie"
211;"Potsdam Invitational";"Potsdam Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Pot Mot"
212;"Carthage Invitational Drill";"Carthage Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Carthage"
213;"East Rochester Invitational";"East Rochester Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"East Rochester"
214;"Sackets Harbor Invitational Drill";"Sackets Harbor Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Sackets Harbor"
215;"Massena Invitational drill";"Massena Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Massena"
216;"Heuvelton Labor Day";"HFD Labor Day";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"HFD"
217;"Saranac Lake Invitational";"SL Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"SL"
218;"Brushton Invitational Drill";"Brushton Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Brushton"
219;"Herkimer County Convention Drill";"Herkimer County Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Herkimer County"
220;"Wrights Corner Invitational Drill";"Wrights Corner Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Wrights Corner"
221;"Ilion Invite";"Ilion";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Ilion"
222;"Waddington Invitational Drill";"Waddington Inv Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Waddington Dril"
223;"Town of Babylon OF Drill";"Town Babylon OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Town Babylon OF"
224;"Baldwin Invitational Parade";"Baldwin Invite Parade";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Baldwin Parade"
